,index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,param_PCA_features
20,0,0.4553872585296631,0.020372192473523072,0.7394823551177978,0.04474145585028755,distance,1,"{'weights': 'distance', 'n_neighbors': 1}",0.5323420074349442,0.5345724907063197,0.5553903345724907,0.5226765799256505,0.5628252788104089,0.5415613382899627,0.015059020254182489,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5125268432355047,0.5168943206326384,0.5370237239396118,0.521513353115727,0.5184931506849315,0.5212902783216827,0.008384953606381761,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3
21,1,0.43540201187133787,0.010488964869540134,2.9887346267700194,0.01680344382270375,uniform,5,"{'weights': 'uniform', 'n_neighbors': 5}",0.3226765799256506,0.3315985130111524,0.32936802973977697,0.32342007434944237,0.3524163568773234,0.3318959107806691,0.010811135006271247,7,0.5336431226765799,0.5306691449814126,0.5254646840148699,0.5342007434944238,0.5178438661710038,0.528364312267658,0.006104582749270861,0.5571245186136072,0.6109589041095891,0.6010854816824966,0.5942622950819673,0.6030534351145038,0.5932969269204328,0.01885296546464734,6,0.8042016806722689,0.7961517010596765,0.7954417557681486,0.80122665179816,0.7982808022922636,0.7990605183181035,0.0032646072327966284,3
22,2,0.43081979751586913,0.006288819584356308,1.480827760696411,0.016340321310213887,distance,11,"{'weights': 'distance', 'n_neighbors': 11}",0.25799256505576207,0.25427509293680295,0.2550185873605948,0.24684014869888476,0.2788104089219331,0.25858736059479553,0.010757827359218397,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6995967741935484,0.7139874739039666,0.7266949152542372,0.6734279918864098,0.6970260223048327,0.7021466355085989,0.017890256880113323,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3
23,3,0.4328313827514648,0.008645539622226153,2.828300380706787,0.013912561544726585,uniform,3,"{'weights': 'uniform', 'n_neighbors': 3}",0.4342007434944238,0.41486988847583645,0.43048327137546466,0.42602230483271375,0.4527881040892193,0.43167286245353165,0.012392961508410183,4,0.6942379182156134,0.6953531598513011,0.6914498141263941,0.6914498141263941,0.6847583643122677,0.6914498141263941,0.003681986770086059,0.5504241281809613,0.5557768924302788,0.579,0.5747241725175527,0.5496389891696751,0.5619128364596936,0.012461051671389473,8,0.8192586093441544,0.8254633715798765,0.8242853977398626,0.8285077951002228,0.828982898289829,0.8252996144107889,0.003504517015246717,3
24,4,0.4455704212188721,0.021832499726412543,3.13875994682312,0.03844258824981547,uniform,7,"{'weights': 'uniform', 'n_neighbors': 7}",0.23940520446096655,0.23643122676579925,0.2408921933085502,0.23345724907063198,0.24981412639405204,0.24,0.0055319182863162114,9,0.3996282527881041,0.38940520446096655,0.4024163568773234,0.3946096654275093,0.3908921933085502,0.3953903345724907,0.004979747821454377,0.5919117647058824,0.6138996138996139,0.6148007590132827,0.5804066543438078,0.60431654676259,0.6010670677450353,0.01322512673810574,5,0.7930652895610476,0.7872980082675686,0.7915904936014625,0.7987208427389014,0.7932855526216522,0.7927920373581265,0.0036632504793397583,3
25,5,0.43985757827758787,0.007031636418724378,2.578549289703369,0.01834881695475094,uniform,1,"{'weights': 'uniform', 'n_neighbors': 1}",0.5323420074349442,0.5345724907063197,0.5553903345724907,0.5226765799256505,0.5628252788104089,0.5415613382899627,0.015059020254182489,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5125268432355047,0.5168943206326384,0.5370237239396118,0.521513353115727,0.5184931506849315,0.5212902783216827,0.008384953606381761,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3
26,6,0.45223798751831057,0.038463320222240374,3.3064740657806397,0.09855829633768903,uniform,9,"{'weights': 'uniform', 'n_neighbors': 9}",0.17100371747211895,0.1591078066914498,0.16431226765799256,0.16654275092936802,0.17100371747211895,0.16639405204460966,0.004470868811412019,10,0.2853159851301115,0.28197026022304833,0.2825278810408922,0.2808550185873606,0.28066914498141265,0.2822676579925651,0.0016732754550077124,0.6068601583113457,0.6079545454545454,0.6242937853107344,0.5848563968668408,0.6052631578947368,0.6058456087676405,0.012543511531681917,4,0.7875833760903027,0.7892819979188346,0.7920792079207921,0.7760657421674371,0.7943187795896897,0.7878658207374112,0.00633593712960766,3
27,7,0.4502551555633545,0.024166391027781214,0.9485483646392823,0.006286481886428893,distance,3,"{'weights': 'distance', 'n_neighbors': 3}",0.4728624535315985,0.4550185873605948,0.48029739776951674,0.462453531598513,0.48475836431226765,0.4710780669144981,0.011023793601695548,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5653333333333334,0.5645756457564576,0.5904936014625228,0.5873465533522191,0.550210970464135,0.5715920208737336,0.015172508352297153,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3
28,8,0.43604073524475095,0.009325737847857571,1.080538034439087,0.015451099492754757,distance,5,"{'weights': 'distance', 'n_neighbors': 5}",0.4052044609665427,0.40817843866171005,0.40817843866171005,0.38810408921933087,0.4349442379182156,0.4089219330855019,0.015003120601492271,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5956284153005464,0.6267123287671232,0.623155505107832,0.6192170818505338,0.6210191082802548,0.617146487861258,0.011044687370967565,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3
29,9,0.42650766372680665,0.011427629675100283,1.2361382007598878,0.03708475921953256,distance,7,"{'weights': 'distance', 'n_neighbors': 7}",0.35985130111524166,0.3464684014869889,0.34349442379182155,0.33605947955390336,0.37992565055762084,0.35315985130111527,0.01543892621848912,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6410596026490066,0.6445366528354081,0.6390041493775933,0.6384180790960452,0.6435768261964736,0.6413190620309054,0.002420422746720655,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3
30,0,0.4266626834869385,0.00407787259193154,2.6730550289154054,0.016013972499484486,uniform,1,"{'weights': 'uniform', 'n_neighbors': 1}",0.7977695167286245,0.8044609665427509,0.8104089219330854,0.803717472118959,0.8193308550185874,0.8071375464684014,0.007293828085311969,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7566995768688294,0.755586592178771,0.7670654468684025,0.7591292134831461,0.7532467532467533,0.7583455165291804,0.004753304828928323,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
31,1,0.428787899017334,0.014475875804508,1.0786471366882324,0.03268669797467242,distance,3,"{'weights': 'distance', 'n_neighbors': 3}",0.7933085501858737,0.7888475836431227,0.7940520446096654,0.7925650557620818,0.8118959107806691,0.7961338289962825,0.008081890403985832,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7323266986959506,0.7440392706872371,0.7617689015691869,0.744413407821229,0.7363452461227242,0.7437787049792656,0.010104678856992556,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
32,2,0.4157717227935791,0.008748635316229752,1.2161468029022218,0.020211799601497892,distance,5,"{'weights': 'distance', 'n_neighbors': 5}",0.753903345724907,0.7687732342007435,0.7799256505576209,0.7605947955390334,0.7888475836431227,0.7704089219330855,0.012664746081705652,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7253218884120172,0.7354196301564723,0.7450284090909091,0.7391618497109826,0.7287087912087912,0.7347281137158345,0.0070843717094192455,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
33,3,0.41582341194152833,0.006787638194532158,1.6181749820709228,0.021007088090552052,distance,11,"{'weights': 'distance', 'n_neighbors': 11}",0.6215613382899629,0.6245353159851301,0.633457249070632,0.6379182156133829,0.6490706319702603,0.6333085501858736,0.009845618056355011,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7378640776699029,0.7285342584562012,0.7408695652173913,0.7371134020618557,0.737331081081081,0.7363424768972865,0.004131579277577587,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
34,4,0.4134127140045166,0.009117098364078438,3.4907076358795166,0.021108096650364082,uniform,11,"{'weights': 'uniform', 'n_neighbors': 11}",0.3449814126394052,0.3479553903345725,0.3315985130111524,0.3464684014869889,0.31970260223048325,0.33814126394052046,0.010910891496115491,10,0.5189591078066914,0.5195167286245354,0.5252788104089219,0.5081784386617101,0.4944237918215613,0.513271375464684,0.010924309073706026,0.5749690210656754,0.5665859564164649,0.5845347313237221,0.5580838323353293,0.5764075067024129,0.572116209568721,0.009036202275895239,10,0.7415670650730412,0.7320586694604505,0.728538283062645,0.7379217273954116,0.7372505543237251,0.7354672598630547,0.004605244437246975,4
35,5,0.4143360614776611,0.006633363270376395,3.3874449729919434,0.022750984159404068,uniform,9,"{'weights': 'uniform', 'n_neighbors': 9}",0.4944237918215613,0.4661710037174721,0.48104089219330853,0.4855018587360595,0.46988847583643123,0.47940520446096657,0.010306452610357444,9,0.6548327137546468,0.6442379182156134,0.6674721189591079,0.6531598513011152,0.6451672862453531,0.6529739776951673,0.008377931910301954,0.625,0.6111111111111112,0.6221153846153846,0.6108512628624883,0.6135922330097088,0.6165339983197387,0.005885239647207145,9,0.7566580756013745,0.756768558951965,0.7504702194357367,0.7521404109589042,0.7576948264571054,0.7547464182810171,0.0028814492223076336,4
36,6,0.41748385429382323,0.005246418638704055,2.9644171237945556,0.032351335907828294,uniform,3,"{'weights': 'uniform', 'n_neighbors': 3}",0.774721189591078,0.7710037174721189,0.7754646840148699,0.7702602230483271,0.7947955390334572,0.7772490706319701,0.009003346024220439,3,0.9159851301115242,0.9180297397769517,0.916542750929368,0.9152416356877323,0.9185873605947955,0.9168773234200744,0.001251855631262661,0.7176308539944903,0.7236566643405443,0.745,0.7239692522711391,0.7247457627118644,0.7270005066636076,0.009351211755361142,6,0.8779618742205594,0.876953125,0.8719717064544651,0.8758448950551405,0.8760858003900017,0.8757634802240334,0.0020364801909493946,4
37,7,0.43006505966186526,0.01408567077027998,3.307025194168091,0.030598929673807933,uniform,7,"{'weights': 'uniform', 'n_neighbors': 7}",0.5955390334572491,0.5903345724907063,0.6044609665427509,0.6126394052044609,0.6141263940520446,0.6034200743494423,0.0093171450990754,8,0.7697026022304833,0.770631970260223,0.7685873605947955,0.7721189591078067,0.7721189591078067,0.7706319702602231,0.0013759669534068428,0.6544117647058824,0.6423948220064725,0.6577669902912622,0.6412451361867705,0.6555555555555556,0.6502748537491886,0.006996608511553443,8,0.784428869103997,0.782411775806756,0.775797373358349,0.7839214946216267,0.7809738672682836,0.7815066760318023,0.0031006382881964617,4
38,8,0.42441353797912595,0.011438619962118037,1.3937039852142334,0.025829906412841858,distance,7,"{'weights': 'distance', 'n_neighbors': 7}",0.7226765799256506,0.7167286245353159,0.7338289962825278,0.7338289962825278,0.7464684014869889,0.7307063197026024,0.010274221365129949,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7313769751693002,0.7204783258594918,0.7365671641791045,0.7316530763528539,0.7301818181818182,0.7300514719485137,0.0052619094800726305,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
39,9,0.42583408355712893,0.01073427260897988,3.138589334487915,0.0281760189019326,uniform,5,"{'weights': 'uniform', 'n_neighbors': 5}",0.6966542750929368,0.6996282527881041,0.7003717472118959,0.708550185873606,0.7286245353159851,0.7067657992565056,0.011619464443471417,6,0.8526022304832713,0.8522304832713755,0.8526022304832713,0.8602230483271376,0.8568773234200744,0.8549070631970261,0.003160069968379712,0.6894775570272259,0.6903888481291269,0.6946902654867256,0.7002204261572373,0.6857942617214835,0.6921142717043598,0.004944034000023312,7,0.8254453842001079,0.8199213161659513,0.8210130660461786,0.8210040801844953,0.8144876325088339,0.8203742958211133,0.0035036720340948426,4
40,0,0.4811187744140625,0.010671721994186702,1.8743258953094482,0.05944212811054793,distance,7,"{'weights': 'distance', 'n_neighbors': 7}",0.43197026022304835,0.4111524163568773,0.4267657992565056,0.4408921933085502,0.45724907063197023,0.4336059479553903,0.0152689934905498,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6058394160583942,0.6037117903930131,0.6106382978723405,0.6026422764227642,0.6412930135557873,0.6128249588604598,0.01449652574788613,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5
